	WM793_SKIN	WM88_SKIN	WM983B_SKIN	YKG1_CENTRAL_NERVOUS_SYSTEM	ZR751_BREAST	ZR7530_BREAST
1321N1_CENTRAL_NERVOUS_SYSTEM	0.0	0.0	0.0	1.0	0.0	0.0
22RV1_PROSTATE	0.0	0.0	0.0	0.0	1.0	0.0
42MGBA_CENTRAL_NERVOUS_SYSTEM	0.0	0.0	0.0	0.0	0.0	1.0
5637_URINARY_TRACT	0.0	0.0	0.0	0.0	1.0	0.0
639V_URINARY_TRACT	0.0	0.0	0.0	0.0	0.0	1.0
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0	0.0	0.0	0.0	1.0	0.0
769P_KIDNEY	0.0	0.0	0.0	0.0	1.0	0.0
786O_KIDNEY	0.0	0.0	0.0	0.0	0.0	1.0
8305C_THYROID	0.0	1.0	0.0	0.0	0.0	0.0
8505C_THYROID	0.0	0.0	0.0	0.0	0.0	1.0
